nct_id,title,trial_text
NCT06638034,Diagnosis of Metastatic Tumors on 68Ga-FAPI-RGD PET-CT and Radioligand Therapy With 177Lu-FAPI-RGD,"Inclusion Criteria:

* confirmed treated or untreated metastatic tumors patients;
* 68Ga-FAPI PET/CT and 18F-FDG PET/CT within two weeks;
* signed written consent.

Exclusion Criteria:

* pregnancy;
* breastfeeding;
* any medical condition that in the opinion of the investigator may significantly interfere with study compliance"
NCT06207006,E-intervention on Subclinical Fear of Cancer Recurrence,"Inclusion Criteria:

* Cantonese- or Mandarin-speaking Chinese cancer survivors
* recently diagnosed with potentially curable (stage 0 to III) colorectal or breast cancer
* had recently completed surgery as primary treatment
* have completed hospital-based adjuvant treatments (including radiotherapy and chemotherapy) within the past six months
* scored 13 to 21 on the fear of cancer recurrence-short form will be recruited.

Exclusion Criteria:

* non-Chinese ethnicity
* metastatic cancer
* with current diagnosis of depression or psychosis or are currently receiving psychological treatments
* language or intellectual difficulties that prevent them from understanding the intervention content
* having limited or no Internet access."
NCT06731933,Impact of COL7A1 Gene Therapy on SCC Recurrence in RDEB Skin,"Inclusion Criteria:

1. Diagnosis of generalized Recessive dystrophic epidermolysis bullosa (RDEB) demonstrated by COL7A1 mutations
2. Presence of biopsy proven squamous cell carcinoma (SCC)
3. Ability to understand and the willingness to provide written informed consent.
4. US based participants are willing to use beremagene geperpavec (BVEC)
5. Subject is 18 years or older
6. participant willingness to use an effective method of contraception

Exclusion Criteria:

1. Inability to travel to site for study visit
2. Subject is pregnant
3. Subject has Metastatic SCC's or is on any current systemic treatment for SCC."
NCT06699602,A Study of Cemiplimab and Fianlimab in People With Clear Cell Renal Cell Carcinoma,"Inclusion Criteria:

1. Age ≥ 18 years at the time of informed consent.
2. Patient must be able to provide informed consent, or a legal authorized representative (LAR) must be identified to provide consent in cases where the patient cannot.
3. Signed and dated IRB-approved Informed Consent Form
4. Patients must be planned for nephrectomy for high risk non-metastatic clear cell renal cell carcinoma.

   * Non-metastatic disease will be defined by no evidence of metastases other than regional lymphadenopathy as assessed by imaging of the chest, abdomen and pelvis with CT of the chest and MR of the abdomen/pelvis (CT abdomen/pelvis will suffice for those unable to undergo MR imaging).
   * 'High-risk non-metastatic' is defined as those patients with a 12-year probability of metastases of ≥ 30% as per an established pre-operative nomogram
5. Patients must undergo baseline biopsy to confirm clear cell histology prior to treatment initiation.
6. Patients must have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
7. Patients must have adequate organ and bone marrow function, defined by the following laboratory results obtained within 14 days prior to the first study treatment:

   i. ANC ≥ 1500 cells/μL (without granulocyte colony stimulating factor support within 2 weeks prior to Cycle 1, Day 1) ii. WBC counts ≥ 2500/μL and ≤ 15,000/μL without G-CSF iii. Absolute Lymphocyte count ≥ 500/μL iv. Platelet count ≥100,000/μL (without transfusion within 2 weeks prior to Cycle 1, Day 1) v. Hemoglobin ≥9.0 g/dL (without transfusion within 2 weeks prior to Cycle 1, Day 1) vi. Alanine aminotransferase (ALT), aspartate aminotransferase (AST), and alkaline phosphatase (ALP) ≤ 3 X upper limit of normal (ULN). ALP ≤ 5 x ULN if patient has documented bone metastases.

vii. Serum bilirubin ≤ 1.5 x ULN. Patients with known Gilbert disease who have serum bilirubin level ≤ 2 x ULN may be enrolled.

viii. Creatinine ≤ 2.0 x ULN or Estimated Glomerular Filtration Rate (eGFR) ≥ 40mL/min using the CKD-EPI formula.

Exclusion Criteria:

1. Prior receipt of any systemic therapy for renal cell carcinoma.
2. Prior receipt of any immune checkpoint inhibitor therapy for any indication.
3. Inability to safely delay surgery by 9 weeks as per surgeon's discretion.
4. Patients who are receiving any other investigational agents.
5. History of allergic reactions or known hypersensitivity attributed to the active substances or to any of the excipients
6. History of severe hypersensitivity reaction to any monoclonal antibody.
7. Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection requiring therapy, symptomatic congestive heart failure, unstable angina pectoris, or uncontrolled cardiac arrhythmia.
8. Patients with a history of myocarditis.
9. Patients with Troponin TnT or troponin I TnI \> 2x institutional ULN at baseline.

   ° Patients with TnT or TnI levels between \> 1 to 2x ULN are permitted if repeat levels within 24 hours are ≤ 1x ULN. If TnT or TnI levels are \> 1 to 2x ULN within 24 hours, the subject may undergo a cardiac evaluation and be considered for treatment by the investigator based on the medical judgement in the patient's best interest.
10. Patients with active autoimmune disease or recent history (within 2 years) of autoimmune disease that might recur, which may affect vital organ function, or require immune suppressive treatment including systemic corticosteroids, should be excluded. These include but are not limited to patients with a history of immune related neurologic disease, multiple sclerosis, autoimmune (demyelinating) neuropathy, Guillain-Barre syndrome, myasthenia gravis; systemic autoimmune disease such as SLE, connective tissue diseases, scleroderma, inflammatory bowel disease (IBD), Crohn's, ulcerative colitis, hepatitis; and patients with a history of toxic epidermal necrolysis (TEN), Stevens-Johnson syndrome, or phospholipid syndrome should be excluded because of the risk of recurrence or exacerbation of disease. Patients are permitted to enroll if they have vitiligo, type I diabetes mellitus, residual hypothyroidism due to autoimmune condition only requiring hormone replacement, psoriasis not requiring systemic treatment, or conditions not expected to recur in the absence of an external trigger (precipitating event).
11. Patients should be excluded if they have a condition requiring systemic treatment with either corticosteroids or other immunosuppressive medications within 14 days of study drug administration. Patients are permitted to use topical, ocular, intra-articular, intranasal, and inhalational corticosteroids (with minimal systemic absorption). A brief course of corticosteroids for prophylaxis (e.g., contrast dye allergy) or for treatment of non-autoimmune conditions (e.g., delayed-type hypersensitivity reaction caused by contact allergen) is permitted.
12. Diagnosis of another malignancy within 2 years before first dose of study treatment, except for superficial skin cancers, or localized, low grade tumors deemed cured and not treated with systemic therapy.
13. Prior allogeneic stem cell transplant or solid organ transplant.
14. History or current evidence of significant (CTCAE grade ≥2) local or systemic infection (eg, cellulitis, pneumonia, septicemia) requiring systemic antibiotic treatment within 2 weeks prior to the first dose of trial medication.
15. Use of live vaccines against infectious disease (e.g. varicella) within 30 days of initiation of study therapy. Killed vaccinations (e.g. influenza) are allowed at any appropriate time before and during the study. If a patient intends to receive a COVID19 vaccine before the start of study drug, participation in the study should be delayed at least 1 week after any COVID-19 vaccination. During the treatment period, it is recommended to delay COVID-19 vaccination until patients are receiving and tolerating a steady dose of study drug. A vaccine dose should not be less than 48 hours before or after study drug dosing.
16. Uncontrolled infection with human immunodeficiency virus (HIV), hepatitis B or hepatitis C virus (HBV or HCV) infection; or diagnosis of immunodeficiency that is related to, or results in chronic infection.

    * Patients with known HIV infection who have controlled infection (undetectable viral load on HIV RNA PCR) and CD4 count above 350 (either spontaneously or on a stable antiviral regimen) are permitted. For patients with controlled HIV infection, monitoring will be performed per local standards.
    * Patients with HBV (hepatitis B surface antigen positive; HBsAg+) who have controlled infection (serum HBV DNA PCR that is below the limit of detection and receiving anti-viral therapy for HBV) are permitted. Patients with controlled infections must undergo periodic monitoring of HBV DNA. Patients must remain on anti-viral therapy for at least 6 months after the last dose of cemiplimab.
    * Patients who are HCV antibody positive (HCV Ab+) who have controlled infection (undetectable HCV RNA by PCR, either spontaneously or in response to successful prior course of anti-HCV therapy) are permitted.
    * Patients with HIV or hepatitis must be reviewed by a qualified specialist (eg, infectious disease or hepatologist) managing this disease prior to commencing and regularly throughout the duration of their participation in the trial
17. Women with a positive serum beta-hCG pregnancy test at screening/baseline visit. If positive, pregnancy must be ruled out by ultrasound for patient to be eligible.
18. Breast-feeding women.
19. Women of childbearing potential (WOCBP) who are sexually active and are not willing to practice highly effective contraception prior to the first treatment, during the study, and for at least 6 months after the last dose. Highly effective contraceptive measures include:

    * stable use of combined (estrogen and progestogen containing) hormonal contraception (oral, intravaginal, transdermal) or progestogen-only hormonal contraception (oral, injectable, implantable) associated with inhibition of ovulation initiated 2 or more menstrual cycles prior to screening;
    * intrauterine device; intrauterine hormone-releasing system;
    * bilateral tubal occlusion/ligation;
    * vasectomized partner (provided that the male vasectomized partner is the sole sexual partner of the WOCBP study participant and that the vasectomized partner has obtained medical assessment of surgical success for the procedure); and/or
    * sexual abstinence - Sexual abstinence is considered a highly effective method only if defined as refraining from heterosexual intercourse during the entire period of risk associated with the study drugs. The reliability of sexual abstinence needs to be evaluated in relation to the duration of the clinical trial and the preferred and usual lifestyle of the subject.
20. Male study participants with WOCBP partners are required to use condoms during the study and until 6 months after the last dose of study treatment unless they are vasectomized or practice sexual abstinence.
21. WOCBP must agree not to donate eggs (ova, oocytes) for the purposes of assisted reproduction during the entire trial and until 6 months after last treatment.
22. All men must agree not to donate sperm during the trial and for 6 months after receiving the last therapy dose."
NCT05751044,HEM-iSMART-B: Dasatinib + Venetoclax + Dexamethasone + Cyclophosphamide and Cytarabine in Pediatric Patients With Relapsed or Refractory Hematological Malignancies,"Inclusion Criteria:

1. Children between 1 year (≥ 12 months) and 18 years of age at the time of first diagnosis and less than 21 years at the time of inclusion
2. Performance status: Karnofsky performance status (for patients \>12 years of age) or Lansky Play score (for patients ≤12 years of age) ≥ 50% (Appendix I).
3. Written informed consent from parents/legal representative, patient, and age-appropriate assent before any study specific screening procedures are conducted, according to local, regional or national guidelines.
4. For all oral medications patients must be able to comfortably swallow capsules (except for those for which an oral solution is available or dissolving of tablets is allowed based on investigator brochure (IB); nasogastric or gastrostomy feeding tube administration is allowed only if indicated).
5. Patients must have had advanced molecular profiling and flow-cytometric analysis of their recurrent or refractory disease at a time-point before the first inclusion into this trial (see section 9.1 for detailed description of the molecular diagnostics required). Drug response profiling and methylation is highly recommended but not mandatory. Patients with advanced molecular profiling at diagnosis may be allowed to be included after discussion with the sponsor.
6. Patients whose tumor present the following alterations: NUP214-ABL1 fusion or other ABL1 fusion, activating the kinase domain, or ABL1 amplification, or PDGFRβ-fusion with various fusion partners including but not limited to: AGGF1, DOCK2, SATB1, ETV6 and/or Patients showing a very deep ex-vivo dasatinib IC50 below 10 nM (Only data generated in centralized laboratory, where a robust DRP platform has been established with a reference cohort in place, will be considered)
7. Adequate organ function:

   * RENAL AND HEPATIC FUNCTION (Assessed within 48 hours prior to C1D1) :

     * Serum creatinine ≤ 1.5 x upper limit of normal (ULN) for age or calculated creatinine clearance as per the Schwartz formula or radioisotope glomerular filtration rate ≥ 60 mL/min/1.73 m2.
     * Direct bilirubin ≤ 2 x ULN (≤ 3.0 × ULN for patients with Gilbert's syndrome).
     * Alanine aminotransferase (ALT)/serum glutamic pyruvic transaminase (SGPT) ≤ 5 x ULN; aspartate aminotransferase (AST)/serum glutamic oxaloacetic transaminase/SGOT ≤ 5 x ULN. Note: Patients with hepatic disfunction related to the underling disease can be eligible even if they do not fulfill the aforementioned values for hepatic transaminases. In these cases, patients need to be discussed with the sponsor to confirm the eligibility.
   * CARDIAC FUNCTION:

     * Shortening fraction (SF) \>29% (\>35% for children \< 3 years) and/or left ventricular ejection fraction (LVEF) ≥50% at baseline, as determined by echocardiography or MUGA.
     * Absence of QTcF prolongation (QTc prolongation is defined as \>450 msec on baseline ECG, using the Friedericia correction), or other clinically significant ventricular or atrial arrhythmia.

Exclusion Criteria:

1. Pregnancy or positive pregnancy test (urine or serum) in females of childbearing potential. Pregnancy test must be performed within 7 days prior to C1D1.
2. Sexually active participants not willing to use highly effective contraceptive method (pearl index \<1) as defined in CTFG HMA 2020 (Appendix II) during trial participation and until 6 months after end of antileukemic therapy.
3. Breast feeding.
4. Impairment of gastrointestinal (GI) function or GI disease that may significantly alter drug absorption of oral drugs (e.g., ulcerative diseases, uncontrolled nausea, vomiting, diarrhea, or malabsorption syndrome) in case of oral IMPs.
5. Patients whose tumor present known mutationts confering resistance to venetoclax (e.g. BCL2 mutations of venetoclax binding-site (Gly101Val mutation, Phe104Leu/Cys mutations).
6. Have a known immediate or delayed hypersensitivity reaction or idiosyncrasy to the study drugs, or drugs chemically related to study treatment or excipients that contraindicate their participation, including conventional chemotherapeutics (i.e. cytarabine and cyclophosphamide when applicable, intrathecal agents) and corticoids.
7. Known active viral hepatitis or known human immunodeficiency virus (HIV) infection or any other uncontrolled infection.

   a. Additional specifications for SARS-CoV-2 (COVID-19): i. Patients with a recent positive test for SARS-CoV-2 (COVID-19) and no follow-up negative PCR test are not eligible.

   ii. Patients with recent contact to persons with COVID-19 and persons with signs and symptoms of COVID-19 infection must be tested before enrolling. In case of contact with a COVID-19 positive person, at least 5 days should be observed between last contact and COVID testing. A negative PCR test is required to be eligible.

   iii. A negative COVID-19 test result is defined as at least 1 negative PCR test at least 24 hours after resolution of clinical symptoms. Resolution of clinical symptoms is defined as resolution of fever without use of antipyretics and improvement in respiratory symptoms (e.g., cough, shortness of breath).

   iv. Frequency or timing of COVID-19 testing and interval between testing for the above viral clearance criteria may be adjusted to the applicable country and institutional guidelines.
8. Severe concomitant disease that does not allow treatment according to the protocol at the investigator's discretion.
9. Subjects unwilling or unable to comply with the study procedures.
10. Previous treatment with dasatinib and venetoclax in combination (Patients who have previously received any of these two drugs separately can be eligible for this sub-protocol).
11. Current use of a prohibited medication or herbal preparation or requires any of these medications during the study. See Section 7, Appendix III and IV for details. In general, CYP3A4 inhibitors/Pgp inhibitors, moderate or strong inducers of CYP3A4 or drugs inducing QTc changes (prolongation of the QT interval or inducing Torsade de Points) are not permitted. Among others and not exclusively that relates to antiviral, antifungal, antibiotic, antimalarial, antipsychotic and antidepressive drugs.
12. Patients who have consumed grapefruit, grapefruit products, Seville oranges (Including marmalade containing Seville oranges) or starfruit within 72 hours prior to the first dose of study drug.
13. Unresolved toxicity greater than NCI CTCAE v 5.0 ≥ grade 2 from previous anti-cancer therapy, including major surgery, except those that in the opinion of the investigator are not clinically relevant given the known safety/toxicity profile of the study treatment (e.g., alopecia and/or peripheral neuropathy related to platinum or vinca alkaloid based chemotherapy) (Common Terminology Criteria for Adverse Events (CTCAE) (cancer.gov).
14. Active acute graft versus host disease (GvHD) of any grade or chronic GvHD of grade 2 or higher. Patients receiving any agent to treat or prevent GvHD post bone marrow transplant are not eligible for this trial.
15. Received immunosuppression post allogenic HSCT within one moth of study entry.
16. History of bone disorders such as osteogenesis imperfecta, rickets, renal osteodystrophy, osteomyelitis, osteopenia, fibrous dysplasia, osteomalacia etc. prior to the underlying diagnosis.
17. Evidence of clinically active tuberculosis (clinical diagnosis per local practice).
18. Wash-out periods of prior medication:

    1. CHEMOTHERAPY: At least 7 days must have elapsed since the completion of cytotoxic therapy, with the exception of hydroxyurea, 6-mercaptopurine, oral methotrexate and steroids which are permitted up until 48 hours prior to initiating protocol therapy. Patients may have received intrathecal therapy (IT) at any time prior to study entry.
    2. RADIOTHERAPY: Radiotherapy (non-palliative) within 21 days prior to the first dose of drug. Palliative radiation in past 21 days is allowed.
    3. HEMATOPOIETIC STEM CELL TRANSPLANTATION (HSCT):

       * Autologous HSCT within 2 months prior to the first study drug dose.
       * Allogeneic HSCT within 3 months prior to the first study drug dose.
    4. IMMUNOTHERAPY: At least 42 days must have elapsed after the completion of any type of immunotherapy other than monoclonal antibodies (e.g. CAR-T therapy)
    5. MONOCLONAL ANTIBODIES AND INVESTIGATIONAL DRUGS: At least 21 days or 5 times the half-life (whichever is shorter) from prior treatment with monoclonal antibodies or any investigational drug under investigation must have elapsed before the first study drug.
    6. SURGERY: Major surgery within 21 days of the first dose. Gastrostomy, ventriculo-peritoneal shunt, endoscopic ventriculostomy, tumor biopsy and insertion of central venous access devices are not considered major surgery."
NCT07250100,The Role of Microbiota in Pancreatic Cancer and Precursor Lesions,"Inclusion Criteria:

* Patients with a suspected lesion (solid/cystic) in the pancreas undergoing diagnostic or therapeutic endoscopic procedure
* Age of 18 years or above
* Signed informed consent form

Exclusion Criteria:

* Contraindications for endoscopic or surgical procedure, such as uncorrected coagulopathy"
NCT03213002,Oral Capecitabine and Temozolomide (CAPTEM) for Newly Diagnosed GBM,"Inclusion Criteria:

1. Be capable of giving informed consent.
2. Have a pathology proven diagnosis of any of newly diagnosed Glioblastoma Multiforme WHO IV
3. Have completed the first part of standard of care chemo-radiation (Stupp), for 6 weeks, and not started the maintenance phase of temozolomide
4. Agree to use effective barrier contraception while on treatment and for 2 months thereafter, if of childbearing potential
5. Have a life expectancy \> 3 months
6. Be between the ages of 18 to 74
7. Have a performance status KPS 70 or greater
8. Be able to swallow pills and capsules
9. Be able to tolerate oral chemotherapeutic medications, with no health threatening allergies or side effects, based on lab and clinical findings
10. Have adequate bone marrow function, liver function and renal function before commencing therapy

Exclusion Criteria:

1. Prior chemotherapy with capecitabine or temozolomide for other prior malignancies. Patients previously treated with continuous infusion 5-FU or any schedule of DTIC, which are similar to capecitabine and temozolomide, respectively, will be excluded.
2. Prior chemotherapies for newly diagnosed GBM or AA, other than temozolomide during radiation.
3. Patients with a history of severe hypersensitivity reaction to capecitabine, 5-FU, temozolomide (i.e. anaphylaxis or anaphylactic reactions),
4. Serious medical or psychiatric illness preventing informed consent or treatment (e.g., serious infection)
5. Prior malignancies in the last 5 years other than curatively treated carcinoma in-situ previously treated with curative intent (cancer free for the past one year).
6. Performance status, KPS \< 70
7. Inability to swallow pills and capsules
8. Concurrent chemotherapy or treatment for the active disease, including devices such as Optune, high dose vitamin supplements, or any other chemotherapy
9. Patients taking concomitant medications such as Coumadin and phenytoin medications, need to be excluded because of interactions with capecitabine
10. Patients with previously documented CAD will need to be evaluated by cardiology prior to start to help risk stratify for capecitabine tolerance
11. Patients with renal insufficiency or hepatic insufficiency
12. Patients with coagulopathies
13. Women who are pregnant or lactating."
NCT05654675,Evaluation of the Use of the FUR to Quantify Tumor Glucose Consumption in Oncologic PET,"Inclusion Criteria:

* Patients who receive an 18F FDG PET/CT scan as part of standard care
* Be competent and be 18 years of age or older

Exclusion Criteria:

* Diabetes (fasted blood glucose \> 7 mmol/L)
* Not fasted \> 4 hours
* Physical exercise within 24 hours
* Earlier treatment for carcinoma with radio/chemo-therapy
* Active inflammation (fever \> 38 degrees, CRP \> 5)
* Any condition or medical indication (such as claustrophobia) that indicates that the patient will not be able to lie still for the duration of the dynamic PET/CT examination
* Pregnant or breast feeding"
NCT06367530,Trilateral Retinoblastoma: Incidence and Outcomes,"Inclusion Criteria:

* patients diagnosed with retinoblastoma

Exclusion Criteria:

* none"
NCT06463665,Efficacy & Safety of Olvimulogene Nanivacirepvec & Platinum-doublet + Physician's Choice of Immune Checkpoint Inhibitor Compared to Docetaxel in NSCL Cancer,"Inclusion Criteria:

* Male or female 18 years or older.
* ECOG (Eastern Cooperative Oncology Group) performance status of 0 or 1.
* Have histologically or cytologically confirmed advanced or metastatic NSCLC.
* Histologically confirmed Stage III or IV squamous or nonsquamous \[American Joint Committee on Cancer (AJCC) 8th edition\].
* Received at least 2 cycles and maximum of 6 cycles of front-line platinum-based chemotherapy with ICI-based therapy, regardless of PD-L1 expression.
* Reached first disease progression by radiological assessment while receiving front-line or maintenance ICI.
* At least one measurable target tumor lesion anywhere except the brain per RECIST 1.1 by Computed Tomography (CT) or Magnetic Resonance Imaging (MRI) scan.
* Have adequate renal, hepatic, bone marrow function as well as adequate coagulation tests \[International Normalized Ratio (INR)\] and adequate immune function by lymphocyte count.
* Women of child-bearing potential must have a negative serum pregnancy test prior to initiating study dosing.
* Be willing and able to comply with scheduled visits, the treatment plan, imaging and laboratory tests.

Exclusion Criteria:

* Active and untreated urinary tract infection, pneumonia, or other systemic infections.
* Current symptomatic central nervous system (CNS) metastasis.
* Any uncontrolled systemic disease, condition or comorbidity that, in the opinion of the Investigator, would interfere with evaluation of study treatment or interpretation of patient safety or study results.
* Persistent toxicities \[Common Terminology Criteria for Adverse Events (CTCAE) Grade ≥ 3\] caused by previous anticancer therapy; alopecia and vitiligo are excluded toxicities.
* Required the use of additional immunosuppression other than corticosteroids for the management of an adverse event or have experienced recurrence of an adverse event if re-challenged, or currently require maintenance doses of \>10 mg prednisone or equivalent per day.
* Receiving concurrent antiviral agent active against vaccinia virus (e.g., cidofovir, vaccinia immunoglobulin, imatinib, tecovirimat, or other agents with known anti-vaccinia activities).
* Underwent major surgery within 4 weeks, or have insufficient recovery from surgical-related trauma or wound healing, prior to the planned first dose of treatment in either Arm.
* Have received prior virus-based gene therapy or therapy with cytolytic virus of any type.
* Vaccination against smallpox or monkeypox within 1 year of study therapy.
* Any non-oncology vaccine therapy used for prevention of infectious diseases, such as seasonal (influenza) vaccinations, corona virus disease (COVID) vaccination or other vaccines, within 2 weeks of the planned first dose of study drug.
* Clinically significant skin disease as assessed by the Investigator (e.g., severe eczema, psoriasis, or any unresolved skin injury or ulcer).
* Known hypersensitivity to carboplatin, cisplatin, paclitaxel or nab-paclitaxel, docetaxel, or any of the constituents of Olvi-Vec (i.e., gentamicin).
* Had severe hypersensitivity (CTCAE Grade ≥ 3) to ICI and/or any of its excipients previously.
* Dementia or altered mental status that would prohibit informed consent, and/or psychiatric illness/social situations that might interfere or limit compliance with study requirements."
